trip_distance,fare_amount,tip_amount,total_amount,passenger_count,payment_type,pickup_datetime,dropoff_datetime
12.37,35.5,0,36.3,3,1,2018-01-27 11:07:34.000000 UTC,2018-01-27 11:33:28.000000 UTC
11.75,35.5,0,36.3,1,2,2018-01-01 10:57:55.000000 UTC,2018-01-01 11:27:13.000000 UTC
11.58,35.5,0,36.3,6,2,2018-01-19 08:00:27.000000 UTC,2018-01-19 08:34:08.000000 UTC
10.5,35.5,0,36.3,1,2,2018-01-08 08:56:52.000000 UTC,2018-01-08 09:43:31.000000 UTC
11.7,35.5,0,36.3,1,2,2018-01-03 08:54:58.000000 UTC,2018-01-03 08:55:11.000000 UTC
10.95,35.5,0,36.3,1,2,2018-01-29 06:06:45.000000 UTC,2018-01-29 06:43:08.000000 UTC
11.05,35.5,0,36.3,1,2,2018-01-16 12:41:59.000000 UTC,2018-01-16 13:16:24.000000 UTC
11.56,35.5,0,36.3,1,2,2018-01-01 19:41:31.000000 UTC,2018-01-01 20:13:26.000000 UTC
12.9,35.5,0,36.3,1,2,2018-01-28 17:53:11.000000 UTC,2018-01-28 18:14:42.000000 UTC
11.87,35.5,0,36.3,3,2,2018-01-22 12:45:43.000000 UTC,2018-01-22 13:38:30.000000 UTC
11.05,35.5,0,36.3,1,2,2018-01-10 10:00:43.000000 UTC,2018-01-10 10:37:23.000000 UTC
11.6,35.5,0,36.3,1,2,2018-01-05 13:45:58.000000 UTC,2018-01-05 14:19:42.000000 UTC
8,35.5,0,36.3,1,2,2018-01-19 11:59:31.000000 UTC,2018-01-19 12:42:06.000000 UTC
10.9,35.5,0,36.3,1,2,2018-01-09 10:55:26.000000 UTC,2018-01-09 11:37:36.000000 UTC
9.21,35.5,0,36.3,1,2,2018-01-09 14:41:08.000000 UTC,2018-01-10 14:29:40.000000 UTC
10.98,35.5,0,36.3,1,2,2018-01-07 17:23:07.000000 UTC,2018-01-07 18:03:22.000000 UTC
12.5,35.5,0,36.3,1,2,2018-01-01 18:34:41.000000 UTC,2018-01-01 19:00:25.000000 UTC
10.18,35.5,0,36.3,2,2,2018-01-02 07:02:22.000000 UTC,2018-01-02 07:43:39.000000 UTC
11.6,35.5,0,36.3,4,2,2018-01-14 19:39:30.000000 UTC,2018-01-14 20:15:15.000000 UTC
11.9,35.5,0,36.3,1,2,2018-01-26 09:50:24.000000 UTC,2018-01-26 10:21:38.000000 UTC
9.38,35.5,0,36.3,1,2,2018-01-09 07:08:15.000000 UTC,2018-01-09 07:54:14.000000 UTC
12.2,35.5,0,42.56,1,1,2018-01-19 21:29:30.000000 UTC,2018-01-19 21:56:03.000000 UTC
